Dec pointSign 6.22452 -0.163104 3 3 1
Player 3 7.48438 64 64 2 2 10 18 3 1.3 5
Enemy 26.8278 -0.764973 192 156 3 3 8 24 150 spinShroom spinIdle
Tile Dirt 0 -2 2 2 0
Tile Dirt 1 -2 2 2 0
Tile Dirt 2 -2 2 2 0
Tile Dirt 3 -2 2 2 0
Tile Dirt 4 -2 2 2 0
Tile Dirt 5 -2 2 2 0
Tile Dirt 6 -2 2 2 0
Tile Dirt 7 -2 2 2 0
Tile Dirt 8 -2 2 2 0
Tile Dirt 9 -2 2 2 0
Tile Dirt 10 -2 2 2 0
Tile Dirt 11 -2 2 2 0
Tile Dirt 12 -2 2 2 0
Tile Dirt 13 -2 2 2 0
Tile Dirt 14 -2 2 2 0
Tile Dirt 15 -2 2 2 0
Tile Dirt 16 -2 2 2 0
Tile Dirt 17 -2 2 2 0
Tile Dirt 18 -2 2 2 0
Tile Dirt 19 -2 2 2 0
Tile Dirt 20 -2 2 2 0
Tile Dirt 21 -2 2 2 0
Tile Dirt 22 -2 2 2 0
Tile Dirt 23 -2 2 2 0
Tile Dirt 24 -2 2 2 0
Tile Dirt 25 -2 2 2 0
Tile Dirt 26 -2 2 2 0
Tile Dirt 27 -2 2 2 0
Tile Dirt 28 -2 2 2 0
Tile Dirt 29 -2 2 2 0
Tile Rock 0 -3 2 2 0
Tile Rock 1 -3 2 2 0
Tile Rock 2 -3 2 2 0
Tile Rock 3 -3 2 2 0
Tile Rock 4 -3 2 2 0
Tile Rock 5 -3 2 2 0
Tile Rock 6 -3 2 2 0
Tile Rock 7 -3 2 2 0
Tile Rock 8 -3 2 2 0
Tile Rock 9 -3 2 2 0
Tile Rock 10 -3 2 2 0
Tile Rock 11 -3 2 2 0
Tile Rock 12 -3 2 2 0
Tile Rock 13 -3 2 2 0
Tile Rock 14 -3 2 2 0
Tile Rock 15 -3 2 2 0
Tile Rock 16 -3 2 2 0
Tile Rock 17 -3 2 2 0
Tile Rock 18 -3 2 2 0
Tile Rock 19 -3 2 2 0
Tile Rock 20 -3 2 2 0
Tile Rock 21 -3 2 2 0
Tile Rock 22 -3 2 2 0
Tile Rock 23 -3 2 2 0
Tile Rock 24 -3 2 2 0
Tile Rock 25 -3 2 2 0
Tile Rock 26 -3 2 2 0
Tile Rock 27 -3 2 2 0
Tile Rock 28 -3 2 2 0
Tile Rock 29 -3 2 2 0
Tile Rock 0 -4 2 2 0
Tile Rock 2 -4 2 2 0
Tile Rock 3 -4 2 2 0
Tile Rock 4 -4 2 2 0
Tile Rock 5 -4 2 2 0
Tile Rock 6 -4 2 2 0
Tile Rock 7 -4 2 2 0
Tile Rock 8 -4 2 2 0
Tile Rock 9 -4 2 2 0
Tile Rock 17 -4 2 2 0
Tile Rock 18 -4 2 2 0
Tile Rock 19 -4 2 2 0
Tile Rock 16 -4 2 2 0
Tile Rock 15 -4 2 2 0
Tile Rock 14 -4 2 2 0
Tile Rock 13 -4 2 2 0
Tile Rock 12 -4 2 2 0
Tile Rock 11 -4 2 2 0
Tile Rock 10 -4 2 2 0
Tile Rock 1 -4 2 2 0
Tile Rock 20 -4 2 2 0
Tile Rock 21 -4 2 2 0
Tile Rock 22 -4 2 2 0
Tile Rock 23 -4 2 2 0
Tile Rock 24 -4 2 2 0
Tile Rock 25 -4 2 2 0
Tile Rock 27 -4 2 2 0
Tile Rock 29 -4 2 2 0
Tile Rock 30 -4 2 2 0
Tile Rock 28 -4 2 2 0
Tile Rock 26 -4 2 2 0
Tile PSteel 10 1 2 2 0
Tile PSteel 11 1 2 2 0
Tile PSteel 12 1 2 2 0
Tile PSteel 14 1 2 2 0
Tile PSteel 15 1 2 2 0
Tile PSteel 17 1 2 2 0
Tile PSteel 18 1 2 2 0
Tile PSteel 19 1 2 2 0
Tile PSteel 20 1 2 2 0
Tile PSteel 21 1 2 2 0
Tile PSteel 22 1 2 2 0
Tile PSteel 16 1 2 2 0
Tile PSteel 13 1 2 2 0
Tile PSteel 13 4 2 2 0
Tile PSteel 14 4 2 2 0
Tile PSteel 15 4 2 2 0
Tile PSteel 16 4 2 2 0
Tile PSteel 17 4 2 2 0
Tile PSteel 18 4 2 2 0
Tile PSteel 19 4 2 2 0
Tile PSteel 14 7 2 2 0
Tile PSteel 15 7 2 2 0
Tile PSteel 16 7 2 2 0
Tile PSteel 17 7 2 2 0
Tile PSteel 15 10 2 2 0
Tile PSteel 16 10 2 2 0
